episode_title,quantity,measure_name,ingredient_name,subingredient
Pilot,8,,eggs,Chocolate cake layers
Pilot,14,dkg,glutenfree flour,Chocolate cake layers
Pilot,2,dkg,cocoa powder,Chocolate cake layers
Pilot,16,dkg,xilit,Chocolate cake layers
Pilot,,,baking powder,Chocolate cake layers
Pilot,,,salt,Chocolate cake layers
Pilot,,,preserved sour cherry,Sour cherry filling
Pilot,1,pkg,vanilla flavoured custard powder,Sour cherry filling
Pilot,7,dkg,xilit,Sour cherry filling
Pilot,100,g,margarin,Sour cherry filling
Pilot,0.5,l,milk,Chocolate filling
Pilot,2,pkg,vanilla flavoured custard powder,Chocolate filling
Pilot,20,dkg,xilit,Chocolate filling
Pilot,2,tbsp,cocoa powder,Chocolate filling
Pilot,250,g,margarin,Chocolate filling
Pilot,,,rum flavor,Chocolate filling
Pilot,400,ml,heavy whipping cream,Whipped cream filling
Pilot,8,dkg,xilit,Whipped cream filling
Pilot,,,vanilla flavouring essence,Whipped cream filling
To love & to be loved,130,g,whole grain flour,
To love & to be loved,1,pkg,baking powder,
To love & to be loved,4,,apple,
To love & to be loved,1,tbsp,cinnamon,
To love & to be loved,6,,egg,
To love & to be loved,100,g,xilit,
To love & to be loved,150,g,butter,
To love & to be loved,1,,grated lemon zest,
To love & to be loved,,,vanilla extract,
To love & to be loved,,pinch of,salt,
Red as blood,1,,beetroot,
Red as blood,20,dkg,feta cheese,
Red as blood,1,clove,garlic,
Red as blood,,,pepper,
A few shades of yellow,120,g,oats,
A few shades of yellow,240,g,pumpkin puree,
A few shades of yellow,2,tbsp,honey,
A few shades of yellow,1,tsp,cinnamon,
A few shades of yellow,1,tsp,nutmeg,
A few shades of yellow,2,handful of,walnut,
A few shades of yellow,600,ml,oatmilk,
The harmony of dual flavours,3,,eggs,
The harmony of dual flavours,100,ml,cooking cream,
The harmony of dual flavours,100,g,grated cheese,
The harmony of dual flavours,20,g,feta cheese,
The harmony of dual flavours,0.5,,pear,
The harmony of dual flavours,,,salt,
The harmony of dual flavours,,,pepper,
Red-white-green,3,,eggs,
Red-white-green,100,ml,cooking cream,
Red-white-green,3,tbsp,sour cream,
Red-white-green,,,sausage,
Red-white-green,,,leek,
Red-white-green,,,chili,
Red-white-green,,,oregano,
Red-white-green,,,pepper,
Stay healthy,1,,beetroot,
Stay healthy,1,,banana,
Stay healthy,1,handful of,redberries,
Stay healthy,2,cm,grated ginger,
Stay healthy,1,tbsp,almond slices,
Stay healthy,2,dl,almond milk,
Stay healthy,2,dl,water,
Stay healthy,0.5,tsp,liquid sweetener,
Winter is over,450,g,pumpkin puree,
Winter is over,250,g,whole grain flour,
Winter is over,1,pkg,baking powder,
Winter is over,150,g,coconut flower sugar,
Winter is over,100,g,crushed chocolate,
Winter is over,1,pinch of,salt,
Winter is over,2,tsp,cinnamon,
Winter is over,1,tsp,nutmeg,
Winter is over,3,cm,grated ginger,
Winter is over,1,tsp,liquid sweetener,
Winter is over,3,,egg,
Winter is over,100,ml,milk,
The first spring whistle,1,,carrot,
The first spring whistle,2,,apple,
The first spring whistle,4,cm,grated ginger,
The first spring whistle,3,dl,rice milk,
The first spring whistle,3,dl,water,
The first spring whistle,1,tsp,liquid sweetener,
Bunnies do not eat meat but we do,20,dkg,chicken breast,
Bunnies do not eat meat but we do,1,,egg,
Bunnies do not eat meat but we do,2,tbsp,mayonnaise,
Bunnies do not eat meat but we do,5,tbsp,sour cream,
Bunnies do not eat meat but we do,1,tbsp,mustard,
Bunnies do not eat meat but we do,,,ramson,
Bunnies do not eat meat but we do,,,salt,
Bunnies do not eat meat but we do,,,pepper,
Fresh spring grass,1,,egg,
Fresh spring grass,1,slices,ham,
Fresh spring grass,,,chive,
Fresh spring grass,,,salt,
Fresh spring grass,,,pepper,
Sweet for the sweetest,3,,carrot,Cake
Sweet for the sweetest,1,,apple,Cake
Sweet for the sweetest,2,,banana,Cake
Sweet for the sweetest,200,g,whole grain flour,Cake
Sweet for the sweetest,30,g,oats,Cake
Sweet for the sweetest,1,pkg,baking powder,Cake
